# Density,Lx,Ly,Lz,lx,ly,lz,C00,C01,C02,C03,C04,C05,C11,C12,C13,C14,C15,C22,C23,C24,C25,C33,C34,C35,C44,C45,C55,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14,eig_15,eig_16,eig_17,eig_18,eig_19,eig_20,eig_21,eig_22,eig_23,(omega^2)_0,(omega^2)_1,(omega^2)_2,(omega^2)_3,(omega^2)_4,(omega^2)_5,(omega^2)_6,(omega^2)_7,(omega^2)_8,(omega^2)_9,(omega^2)_10,(omega^2)_11,(omega^2)_12,(omega^2)_13,(omega^2)_14,(omega^2)_15,(omega^2)_16,(omega^2)_17,(omega^2)_18,(omega^2)_19,(omega^2)_20,(omega^2)_21,(omega^2)_22,(omega^2)_23
8.767078722699599425e+00,1.150540092707741102e-01,2.044836174127274697e-01,3.217059531748111545e-01,5.859968736693118574e-01,1.041482702601379096e+00,1.638523368251997736e+00,3.317219171210062267e+00,3.226029443160399746e-02,5.990983543528313748e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.286590576210704828e+00,3.566660112650382741e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.865699543648471792e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.077134884000317983e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.455869214374173937e-01,0.000000000000000000e+00,2.970765202799712790e-01,2.489982481279838511e-01,9.128325588223320519e-01,9.347380746492278680e-01,9.830367292427131254e-01,1.455898924646356507e+00,2.653200608593058618e+00,3.054415648166505459e+00,3.406198356232736923e+00,3.620363056541950453e+00,3.843517951475574623e+00,3.985412171169909534e+00,5.259573401104716162e+00,6.098864649277908612e+00,6.332775967445233967e+00,6.333989165967667923e+00,6.910537899341639978e+00,6.937287907120959218e+00,7.009997022936814481e+00,7.092876060195710153e+00,7.599834257336065768e+00,7.977793439268817899e+00,8.206786350318949985e+00,8.503257397622187241e+00,8.827947659029030447e+00,7.367641224188548055e-01,2.700992011680378724e+00,2.765808524509977939e+00,2.908720035466834997e+00,4.307878073890257120e+00,7.850589442647354588e+00,9.037749789175734350e+00,1.007864417353030895e+01,1.071233886280102077e+01,1.137263475470117768e+01,1.179248738834569465e+01,1.556261945734937058e+01,1.804600913805231954e+01,1.873813234915542125e+01,1.874172209788426002e+01,2.044767956854743574e+01,2.052683051099140599e+01,2.074197044996152073e+01,2.098720230043455715e+01,2.248724743740747911e+01,2.360559572732677935e+01,2.428316580028275951e+01,2.516039779942797594e+01,2.612112799452719614e+01
7.905172055110244678e+00,1.092430373443744746e-01,4.299526198690536982e-01,4.330203997236733438e-01,4.002083930690280567e-01,1.575117749163109648e+00,1.586356463096305403e+00,3.160212409947962264e-01,2.626448210557429941e-01,1.884966339148353431e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.150800031010583924e-01,1.021295520308013183e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.878736547777415389e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.030122304239333708e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.321103415433966033e-01,0.000000000000000000e+00,1.962352448947343730e-01,1.036013311624932147e-02,6.709495338116196195e-02,1.475491356162257628e-01,1.573260365090910495e-01,2.351015991304489794e-01,2.573948015563137792e-01,3.229707048707942119e-01,3.905455072457985066e-01,6.277152647838575295e-01,6.412787055202182618e-01,9.734455100562214858e-01,1.040946208317599764e+00,1.109864613985173776e+00,1.147089183900683151e+00,1.271502666222376510e+00,1.284523117803412440e+00,1.287591107293279968e+00,1.442869971574367360e+00,1.449729699764371604e+00,1.586213428793990632e+00,1.588058721746884228e+00,1.617966427773641858e+00,1.663294859209043075e+00,1.954269584514363611e+00,1.758890731547611483e-02,1.139104008718268002e-01,2.505014213342425800e-01,2.671001466312645789e-01,3.991435428894127835e-01,4.369918086244036770e-01,5.483232435186097264e-01,6.630483076175797130e-01,1.065703064710227244e+00,1.088730384853114463e+00,1.652666298871251493e+00,1.767265552773418236e+00,1.884271718236299575e+00,1.947469700613131183e+00,2.158692585956144772e+00,2.180798046715648919e+00,2.186006723300846222e+00,2.449631284997714431e+00,2.461277382783282786e+00,2.692992519358826886e+00,2.696125363923095986e+00,2.746901146764927582e+00,2.823857453245459226e+00,3.317859549272025088e+00
2.310165854333700253e+00,4.024560790602840221e-01,3.638564266488363286e-01,1.953881611070398261e-01,1.315839429316943754e+00,1.189636975823121112e+00,6.388260975127756369e-01,2.047733123516892739e+00,1.611015551451158156e-01,1.801518736911708052e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.225772680973508777e-01,2.790187224985542502e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.635626101060356774e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.537748858768420046e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.305947803159569154e-02,0.000000000000000000e+00,1.615943559761073289e-01,3.081965277059195429e-01,9.309227387080569738e-01,9.574162899336345900e-01,9.871376069611716986e-01,1.091613574742537729e+00,1.196093152920764124e+00,1.215300885694358346e+00,1.222359321207862060e+00,1.644492642266299542e+00,2.065877648963337254e+00,2.360589252617296463e+00,2.626830263612109917e+00,2.639737589025567210e+00,2.816741441499260645e+00,2.941774053976955017e+00,3.022329120416764603e+00,3.271730924541435659e+00,3.313503000218652073e+00,3.384740981883261668e+00,4.141097724177021711e+00,4.210436972940128975e+00,4.247889364933151946e+00,4.337767331435260054e+00,4.437356234179859804e+00,1.426111195952406874e+00,4.307638863164057419e+00,4.430231905676810911e+00,4.567760719797215430e+00,5.051200129287056306e+00,5.534656245089011328e+00,5.623535775826042915e+00,5.656197123397488369e+00,7.609525604503691198e+00,9.559391426582461548e+00,1.092310412210329140e+01,1.215507545360281405e+01,1.221480124421748670e+01,1.303384738214253069e+01,1.361240811363708403e+01,1.398515884835698131e+01,1.513921047833610523e+01,1.533250151001928074e+01,1.566213949778367187e+01,1.916201286218596422e+01,1.948286488383610049e+01,1.965616753566679620e+01,2.007205792629571661e+01,2.053288352434466191e+01
9.592119134935018110e+00,4.402994907878838293e-01,1.572498869900406382e-01,2.274716179693034579e-01,1.756546303696237654e+00,6.273382402844420724e-01,9.074832883063099764e-01,2.567491467218827150e+00,9.586591016209239369e-02,1.639588340500302555e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.215868669487369047e+00,2.757370441175076015e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.057768356093951478e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.137501027510464391e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.065854851488334532e-01,0.000000000000000000e+00,2.013682541634089218e-01,2.964492838361101890e-01,1.053549114747848403e+00,1.246694266919270211e+00,1.389321109675375032e+00,1.613948291780454847e+00,2.884934484787160969e+00,2.999018494959070136e+00,3.251127555020731918e+00,3.398760262017034073e+00,3.906515778793536064e+00,4.269975510114782935e+00,4.577494910873832978e+00,4.679634829071366298e+00,4.825379871118856023e+00,4.848796202532623667e+00,5.331975655008694304e+00,6.095900735673740911e+00,6.229426069625234597e+00,6.784204026928364328e+00,7.770201525228044304e+00,7.947842743615544769e+00,8.026291097111178274e+00,8.088316463030032821e+00,8.167908185115400954e+00,4.918794515836457104e-01,1.748087072678174314e+00,2.068560545566174635e+00,2.305212199056977163e+00,2.677921802921999994e+00,4.786788397223324054e+00,4.976080743056228606e+00,5.394389280009736609e+00,5.639346845814808162e+00,6.481833297118469339e+00,7.084898924404216203e+00,7.595146317278058667e+00,7.764620590575936454e+00,8.006446073929058826e+00,8.045299304083167513e+00,8.847008254177335829e+00,1.011454057831089948e+01,1.033609067681912741e+01,1.125659847450306650e+01,1.289260144422053500e+01,1.318735022535572909e+01,1.331751459140089899e+01,1.342042933815841899e+01,1.355249082302134767e+01
4.090657569235756519e+00,2.243449714684409291e-01,3.262328412598781702e-01,2.289723076452417627e-01,8.766791539587318605e-01,1.274829247998080062e+00,8.947615256651600957e-01,2.838290324977331025e+00,3.951047389116563169e-02,1.958904694955990733e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.340225849997551677e+00,1.106905631479010998e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.326691047275708080e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.597268894858054677e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.217391800916336919e-02,0.000000000000000000e+00,6.237027259478111763e-03,6.078210601560879445e-02,9.716945545654748218e-02,1.477954775411546851e-01,3.155626448919307547e-01,3.373690530768908569e-01,5.741441482699911614e-01,6.016622362097464594e-01,7.050413048223788115e-01,7.123920905570655382e-01,7.990713404160324496e-01,8.758893443104822651e-01,9.512109038930744997e-01,1.080239605691510230e+00,1.276394062281654751e+00,1.290942356732172724e+00,1.359627715263445946e+00,1.429246823923634890e+00,1.844872648461383768e+00,1.860124790109002113e+00,1.980594835068930415e+00,2.012222838326458874e+00,2.020598693188368156e+00,2.027663146768431179e+00,2.136473854994272337e+00,2.268983293529980572e-01,3.627315430888390368e-01,5.517174237333088982e-01,1.177988747441648165e+00,1.259391612704105379e+00,2.143268086446481036e+00,2.245992532666162056e+00,2.631904431675577971e+00,2.659344760942944585e+00,2.982916586136367343e+00,3.269676586578056376e+00,3.550850391729916566e+00,4.032511834476455448e+00,4.764752314660205990e+00,4.819060793292227807e+00,5.075461798840727567e+00,5.335348474073487779e+00,6.886870976425744750e+00,6.943806901910313911e+00,7.393519057844311959e+00,7.511585731908904329e+00,7.542852622769553150e+00,7.569224080097741947e+00,7.975412176078157778e+00
5.940024429155716490e+00,4.289152974703792920e-02,7.164200926852942741e-02,4.544146455095776083e-01,3.837434697397458239e-01,6.409692864295918335e-01,4.065573174863142292e+00,2.725323362190493537e+00,2.884258101875308844e-02,4.346066245344537560e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.377362105337705867e+00,9.637865245707016859e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.069458323515542153e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.767460884488757100e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.668249520788533169e-01,0.000000000000000000e+00,8.332955506721687056e-02,1.069044734306392498e-02,2.667087490164086680e-02,7.438927921163085433e-02,7.725669610006545562e-02,1.581286943330168782e-01,2.557153902188741834e-01,2.999681732416581426e-01,3.086530970897853887e-01,4.654289269795642836e-01,6.155175312984196845e-01,6.930909445753491438e-01,9.737501778407077202e-01,1.199743108887140197e+00,1.201339560244638172e+00,1.229588767934940874e+00,1.684287342161649548e+00,1.918337254329623320e+00,2.052484445947562186e+00,2.582809750560129736e+00,2.698914467607919754e+00,2.774207172401550459e+00,3.193876419315126114e+00,3.608920820024430931e+00,3.800534063146392416e+00,1.440610487384052507e-01,3.594081787039600795e-01,1.002446131038158050e+00,1.041086523798346652e+00,2.130891702677826238e+00,3.445938800435965010e+00,4.042275148885553726e+00,4.159310404532377881e+00,6.271971338726955558e+00,8.294517360235248660e+00,9.339871863397629426e+00,1.312194591369983954e+01,1.616735436193829045e+01,1.618886762975960636e+01,1.656954491624700765e+01,2.269691745369813418e+01,2.585089920226604576e+01,2.765862384555055442e+01,3.480511801022827001e+01,3.636970803762618942e+01,3.738432844281990697e+01,4.303965697056877104e+01,4.863266255026313445e+01,5.121478132139449713e+01
6.590147305570394742e+00,3.530259172324962669e-01,2.603354436383775727e-01,4.355881324815778499e-01,1.031972079006836296e+00,7.610175227835461742e-01,1.273319517704636583e+00,1.063651907468644353e+00,5.901860383950047195e-02,2.066154865490328341e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.298528609715932980e+00,7.186726229470907779e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.435767507637064622e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.622598842558683196e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.295522961280737295e-01,0.000000000000000000e+00,2.604719852742312103e-01,6.289207081936670773e-01,1.606630924308827701e+00,2.612849691108266370e+00,2.865227792707861099e+00,2.909772120720380606e+00,2.947829779186774246e+00,3.143336739625104848e+00,3.850708773285801634e+00,4.819964754843499399e+00,5.335117325898750984e+00,5.479694935089037600e+00,6.381584500129934945e+00,6.458559004958620342e+00,6.579728741985987561e+00,7.436950314789959826e+00,7.668382866743588266e+00,8.047863749528294974e+00,8.049105766722970401e+00,9.428717760691856853e+00,1.007031107132277015e+01,1.039014847694883414e+01,1.042947328397853823e+01,1.075875329524269475e+01,1.140614999255665296e+01,8.154991013258927612e-01,2.083261145430082451e+00,3.387989212691476126e+00,3.715238915821662768e+00,3.772997960785705374e+00,3.822345972186142138e+00,4.075852890408525830e+00,4.993077033671640130e+00,6.249876772680468484e+00,6.917856779171072112e+00,7.105325420019543259e+00,8.274773524055527574e+00,8.374583625225655581e+00,8.531700111241066864e+00,9.643228819313979017e+00,9.943319173593781812e+00,1.043537852996337456e+01,1.043698900946085928e+01,1.222588278669294937e+01,1.305781400062762465e+01,1.347253578265891782e+01,1.352352686050821440e+01,1.395049253324260619e+01,1.478994879216787162e+01
8.555290442714273524e+00,3.930412469336649339e-01,1.261316562075957826e-01,3.163100462441279515e-01,1.570289492384089991e+00,5.039247558493982204e-01,1.263730831885207628e+00,4.711225267498948099e+00,2.650266250118868405e-01,3.862924459631145169e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.135625525785567635e+00,9.986149681530717692e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.608403745044154620e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.274053567201172799e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.175222454633690128e-01,0.000000000000000000e+00,1.039314295449231818e-01,2.686557001368153896e-01,9.610287668660567606e-01,1.233702499070628011e+00,1.329051827092446958e+00,1.487375005677772366e+00,1.771194065808946450e+00,2.272939174651035454e+00,2.389063855830712235e+00,2.506161633062913729e+00,2.542440786153668419e+00,2.902280941114915969e+00,2.908446595964339743e+00,3.208955978127146835e+00,4.062349219105953146e+00,4.268401359362018255e+00,4.409085614067708825e+00,4.427093825008030947e+00,4.428331150974271324e+00,4.658924705673029187e+00,5.459145311576249604e+00,5.464029848354149621e+00,5.800419170782799227e+00,5.878329157118140635e+00,6.092751879528422343e+00,5.012385822696727722e-01,1.793018708998177058e+00,2.301753847998752711e+00,2.479649801718266655e+00,2.775037859868989099e+00,3.304567154236512039e+00,4.240687277087713980e+00,4.457344398196169344e+00,4.675817052291757925e+00,4.743504100256471290e+00,5.414868113841972530e+00,5.426371551490663414e+00,5.987040454466898254e+00,7.579240500879093290e+00,7.963677840578138323e+00,8.226156456667187200e+00,8.259754888103199022e+00,8.262063402356973896e+00,8.692288357118284736e+00,1.018528270565302307e+01,1.019439592487134405e+01,1.082200705308833477e+01,1.096736593092152035e+01,1.136742050386599701e+01
2.372746920524839709e+00,3.756267032199052114e-01,1.473413246905993790e-01,3.048492409996120811e-01,1.464539455580041505e+00,5.744724259406100986e-01,1.188583606065368059e+00,3.724437682588360499e+00,1.813047622694686223e-01,2.810061504885102424e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.507543680499904060e+00,4.123962824763921509e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.397694350121197360e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.112663001075321401e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.597206321683023234e-01,0.000000000000000000e+00,4.969649736732373313e-02,3.362054539265780240e-01,7.661598237820386181e-01,1.210061982680585846e+00,1.274692276455652307e+00,2.185244729633039285e+00,2.277003780423018320e+00,2.333804319323801391e+00,2.406119088275533002e+00,2.562287722986098970e+00,2.798868421568185827e+00,3.399688316863578752e+00,3.662624289614223816e+00,3.782488432948729162e+00,4.324643371142553150e+00,4.354068541298108386e+00,5.169644979412924890e+00,5.301848525238187726e+00,5.507963386415793750e+00,5.710328654049508401e+00,5.958606659027386954e+00,6.339188657117431624e+00,6.540189981981166412e+00,7.046005234017329144e+00,7.274664751843347155e+00,2.153984487825328920e+00,4.908594897398354640e+00,7.752565312549487331e+00,8.166635484848027815e+00,1.400031794475158087e+01,1.458819529686126515e+01,1.495210218255719070e+01,1.541540487067098653e+01,1.641593836209043289e+01,1.793165189056871256e+01,2.178095510480430974e+01,2.346552030141720380e+01,2.423345997156122067e+01,2.770691143770675424e+01,2.789543116374465370e+01,3.312062598381081813e+01,3.396762112805172507e+01,3.528814763498873219e+01,3.658465143130381136e+01,3.817530668434844898e+01,4.061360062234788870e+01,4.190136597752673708e+01,4.514199813820931695e+01,4.660696263726358524e+01
8.440770626232824370e+00,9.860712765878605623e-02,2.505711655632508195e-01,2.639381624312684416e-01,5.277899443183463601e-01,1.341170204024573875e+00,1.412716416759692839e+00,3.191698440168177164e+00,2.090598544436828021e-01,7.809565538343030133e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.908252136964547763e+00,2.088056465024999975e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.118475214071470658e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.373356949538339367e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.026112303054377062e-02,0.000000000000000000e+00,1.939243929324361015e-01,2.263846867131110718e-01,8.365568742752609310e-01,1.156230233393737317e+00,1.166197102429118448e+00,1.755874334778356749e+00,2.024817301714963769e+00,2.175491040253187958e+00,2.246604881634282069e+00,2.435404571848594824e+00,2.522806430309755488e+00,3.267810632769661439e+00,3.408294448294998169e+00,3.438596296309351263e+00,4.428213216336357227e+00,4.540902958596433336e+00,4.844559084382741965e+00,4.995670514952824881e+00,5.102243837283460870e+00,5.313753447666708318e+00,5.475794475432159025e+00,5.494096635797765416e+00,6.103310871027669116e+00,6.309091312836578425e+00,6.651562779985802365e+00,7.683702730834706118e-01,2.839350325630968896e+00,3.924350860824627141e+00,3.958179323313381737e+00,5.959597628719675022e+00,6.872414586214846466e+00,7.383814996322257684e+00,7.625181859582100152e+00,8.265985226781072726e+00,8.562635105484709186e+00,1.109124731333197289e+01,1.156806219540835556e+01,1.167090943111042556e+01,1.502975951116372144e+01,1.541223877374657292e+01,1.644287535823239921e+01,1.695576133501363714e+01,1.731748091053588468e+01,1.803536381794254595e+01,1.858534584438875115e+01,1.864746504583438380e+01,2.071519372080058119e+01,2.141363130756334243e+01,2.257601070061044979e+01
