,(omega^2)_0,(omega^2)_1,(omega^2)_2,(omega^2)_3,(omega^2)_4,(omega^2)_5,(omega^2)_6,(omega^2)_7,(omega^2)_8,(omega^2)_9,Cry_st,rho,dx,dy,dz,(omega^2)_10,(omega^2)_11,(omega^2)_12,(omega^2)_13,(omega^2)_14,(omega^2)_15,(omega^2)_16,(omega^2)_17,(omega^2)_18,(omega^2)_19,(omega^2)_20,(omega^2)_21,(omega^2)_22,(omega^2)_23,(omega^2)_24,(omega^2)_25,(omega^2)_26,(omega^2)_27,(omega^2)_28
0,8.507717181422683,14.629007259293804,17.77178248679264,22.233325081910024,25.36526449422657,26.061988274094677,27.416796011996382,28.093849821298065,29.148011148637416,30.945434676957706,Isotropic,9.401,0.2348,0.1914,0.1484,,,,,,,,,,,,,,,,,,,
1,5.171780689473099,8.546430647639642,13.095080976033755,17.09876074819241,19.098981264677917,19.59365997053402,19.77513662959978,23.387424419169818,26.975627399381384,29.017624566670168,Isotropic,5.403,0.33511,0.26023,0.15492,29.697744482750632,29.766196638111175,37.95570644017861,38.91910861842964,41.34762435058481,42.69082429661397,44.29603789709978,46.24738217568541,49.14484368024415,50.131115774663726,56.958882387043964,58.85989989469489,60.769589172339195,62.446334684903555,,,,,
2,1.4851970830818448,2.2434561532798467,2.722901101055815,2.909485658444468,3.1627702344576183,3.4428803221188993,3.771830141316165,3.8051680430912143,3.9460750479126068,4.272144391127374,Isotropic,8.052,0.7042,0.631,0.58393,4.430253813857274,4.616365570650057,4.907889674200478,5.132617690647431,5.186938052077754,5.6433116846956635,5.841387934957843,5.85250923448764,6.5984358877607585,6.875600304504361,7.08281700526966,7.094259330184579,7.164822582793606,7.240163859766317,7.272152426258406,7.7750468984338035,8.293052437386752,8.453008316200902,8.641548459310892
3,1.3207059773044758,3.4989742550526333,3.8977214535715228,4.139785154747547,4.438059972367934,4.934177176697509,5.329427938802365,5.784489277433761,6.022879867631202,6.66260190235204,Isotropic,8.405,0.46319,0.2193,0.38864,6.9912453713974,8.414106293757959,9.205419175208519,9.540460771444026,,,,,,,,,,,,,,,
4,1.3715141374919861,2.4521663207239985,2.825645424271426,2.9297121177989336,3.1871540145651402,3.8842119886383073,4.154756219313184,4.274404240780852,4.313281323153684,4.709847986905159,Isotropic,8.5352098,0.702203,0.499054,0.6037,4.894535993976528,5.231824348168792,5.634419134387326,6.099543349997017,6.774420986939379,7.349621610933663,7.45763484703095,7.551097468928024,7.731868065487639,7.986955896184801,8.082202242635246,8.435041913133908,,,,,,,
