,C00,C11,C22,C33,C44,C55,C01,C02,C12
eig_14,-0.4690772589335179,-0.44073383234678865,-0.35582732136082695,0.2797199802753877,0.23662042497858696,0.2666755934542443,-0.2093454647046663,-0.21920578242103905,-0.19329821239993056
eig_15,0.066932160086524,0.07535954209348486,-0.04449627263326998,-0.03594554183501081,0.012794930891536938,-0.05045525266588416,-0.18804570128507397,-0.12481114916672938,-0.1790457415154899
eig_16,0.13947243120992064,0.12671532560150545,0.21643047992534012,0.02624115713084335,0.00936260435290081,-0.11952246566687982,-0.22879149385445807,-0.30263255232088854,-0.2862365319612078
eig_17,0.04187119345174729,0.01567611326743277,-0.07493426193032195,-0.09430365460675938,-0.10263397851221832,-0.0909819502070156,0.14418121717757149,0.24300211317056525,0.25393946419261815
eig_18,-0.0014290726952842434,0.07272964795299158,0.13010492727750406,-0.022916230967350758,0.023978139503760335,-0.14454562771170776,0.3186584531564569,0.2256715451485427,0.14771314882769515
eig_19,-0.06080228491223691,-0.1306055981574338,-0.0053124924929093265,0.186380991312861,0.0671309518592961,0.26128705750191994,0.5743100122733813,0.5750083020956038,0.6841074120041111
eig_20,-0.07666612765157577,-0.10639194464422203,-0.2725211325965087,-0.004295241184465781,0.05156442806268027,0.06595009532269405,-0.4329803328395595,-0.4272554094654937,-0.4714290328999582
eig_21,0.017067188285123353,-0.005304424818569811,-0.03440039677391776,0.01346080203440117,0.1276917749980512,-0.012760419091628901,0.0388760252766048,0.04466704476501013,-0.0038699951715480962
eig_22,-0.3000058002625643,-0.3331110586195644,-0.1814594765380183,0.1832659659148785,0.041326020505944805,0.13587850486819109,0.013331010004443512,-0.024801721718919617,0.05117665128904275
eig_23,-0.11417300953431186,0.06023558705133872,0.07486047400626836,-0.13863402239488667,0.03165715718228419,0.18258522007036193,0.22467407142953955,0.3153621124418925,0.29388852781613234
eig_24,0.23980612325302944,0.07398859944713809,0.017224925416353287,-0.020792413125552796,-0.12340760293147655,-0.0648708254395991,-0.22305665617810774,-0.33848404094424045,-0.2984793138799507
eig_25,-0.23383904573623857,-0.12736866134581443,-0.20710890154537778,0.3314544383972689,0.27277925236023814,0.09337356935281177,0.234652190566018,0.1919059926377283,0.15555705616303162
eig_26,-0.11022795561468889,-0.15577781703631477,-0.084829712743836,-0.24857284048461578,-0.19542202322078972,-0.04254218367473772,-0.9766782663468062,-0.79831915785328,-0.7871270149621334
eig_27,0.26874049635039854,0.2948051419697665,0.20364815865906288,-0.07225944690157375,-0.040176598248025774,-0.05415363436017733,0.4039512072536198,0.3589236766457743,0.32870764752605885
eig_28,0.14505639560792905,0.17194060965456467,0.3976963769127304,-0.2731103211228061,-0.23366361266031965,-0.32859702236506405,-0.0738469582502853,-0.07305104460672576,-0.08773201038994294
eig_29,-0.10908200225212991,-0.2106755034542229,-0.28807013247432733,0.22125294559090478,0.18221933017262743,0.02588058423828083,-0.5635589814983466,-0.5284405856339254,-0.5157249926753726
eig_30,0.4038754593488969,0.39719489453976964,0.37805028240458843,0.003198733034593157,0.018569726643737905,0.17808406842623878,1.103506267612571,1.0292283910281004,1.05161576629802
eig_31,-0.323870751157221,-0.12172518720034452,-0.03291323322206639,0.004007839330513248,0.03280184201807476,-0.11534728768368685,-0.14295576350427097,-0.08734454482212475,-0.12398902608311446
eig_32,0.0723359449815036,-0.05200166503877714,0.05111659656311636,0.021695459611110413,-0.0428825881148355,-0.03398560039787299,-0.2909216758088516,-0.3190628522099273,-0.32155107545289335
eig_33,0.3563296164604072,0.2141272519759993,0.35690913271589064,-0.06483458278500046,-0.04646627292884154,0.09757809897512795,0.9029028570627595,0.8641383683999755,0.8183307801451787
eig_34,-0.32166117024800683,-0.17783439441652402,-0.42100522043461974,-0.01958345702942603,0.04039918438316285,0.09938851183291705,-0.313600355215375,-0.2215668499585859,-0.15776169048278266
eig_35,0.17623513805551072,0.2350468690334064,0.12830591426373414,0.01722199815753135,0.03323374945485401,0.06718835435961326,-0.34075879487405886,-0.3395363645724878,-0.3153583440934622
eig_36,-0.4222482576298372,-0.27036081960050723,-0.2245217295008324,0.269852745683257,0.16972322282975733,0.08270274222107303,-0.19842835800515407,-0.2453777493243185,-0.2751956625933092
eig_37,0.15560726585585227,-0.07809781937517504,-0.1263501123958233,0.013660100216647212,0.004209736988868201,0.20681692113350691,-0.10772060364485433,-0.27723365200651606,-0.18334137082709567
eig_38,-0.08119771843808932,-0.015554054233064732,0.08038551262144883,0.2424833010187364,0.31926248530702617,-0.11933135500765861,0.27302270235872317,0.2552698122933135,0.16147406067217449
eig_39,0.1636357805539588,0.055633788674352404,-0.047099461855808655,-0.1719290906917626,-0.29724063684677715,0.033367924747720545,-0.21286506025910729,-0.09713507298919824,-0.058092474871634686
eig_40,0.11659646962956174,0.15696373266769545,-0.1281734182720023,0.1809559025642124,0.24306647570567033,0.036572515467202055,0.36440798665192997,0.4950690161346577,0.4486857186598388
eig_41,0.034787939001721,-0.026520654574140157,0.1295579252129265,-0.08185950451858476,-0.0036398258659590815,-0.016186985200637466,-0.24154362197760135,-0.14362829987077477,-0.1765087332606508
eig_42,0.13628796471480573,0.2276711590380449,0.069270705676409,-0.05432643366862267,-0.1253715229659092,-0.1259185342577247,0.2919663730695105,0.37786291546824646,0.37492181831357624
eig_43,-0.16213606226831176,-0.3521471731481276,-0.22224062478900375,-0.06586516372371821,-0.04264593752326375,-0.2511167148850301,-0.7598528997001524,-1.0341392360202972,-0.9491068621354568
eig_44,0.047856540949425375,0.23711872489210273,-0.1150222956193905,-0.10311105680660515,-0.08925656858213024,0.26505548695339176,0.16170273906456703,0.19357168406242467,0.21979908515664345
eig_45,-0.3565312332300146,-0.24261016259361642,0.045604899050096945,0.19039062776637808,0.09633862660587005,-0.14412452333039705,-0.269993284303766,-0.3077189394834266,-0.3507128727706675
eig_46,0.5070984480063397,0.4788327459793848,0.34208861278146185,-0.15931929342343126,-0.044904639687243654,-0.1167067813568733,0.83172122914925,0.833146123336078,0.7377540270597485
eig_47,0.12113715223140105,0.2373409926742721,0.18986823752490317,-0.3429756021496182,-0.3162437150016353,-0.24377575103840224,0.014112431079307958,-0.05295274238709867,0.03784541188517861
eig_48,-0.2652492422901432,-0.47383704496320356,-0.48605851314209053,0.12820401954709248,-0.05301413030648376,-0.000186676426567162,-0.40045690303672554,-0.18123320099832238,-0.18846273272120967
eig_49,0.08138990050453677,0.06515603197571534,0.05753350960905433,-0.18559492691767465,0.044060299078862435,-0.07336320487586975,-0.7293097791004283,-0.6039490038591592,-0.6580274404252701
eig_50,0.08461261368673194,0.08786240147704422,0.3126696562185691,0.33255266972249153,0.2620357438680841,0.37988625262619385,0.7978739333271279,0.6695774644651534,0.6882480573292096
eig_51,-0.46699287639175396,-0.3804044231670044,-0.1647002948992745,0.06604345320310134,0.03106246051290399,-0.17150167937636346,-0.3451367058909979,-0.4540259951320582,-0.35104385524145004
eig_52,-0.07881848905221955,-0.25590899920584514,-0.48375559924493783,-0.06640365768513348,0.09270252910354504,0.20329543329739788,-0.7217504386199907,-0.6597668952767202,-0.7409012162923698
