,C00,C11,C22,C33,C44,C55,C01,C02,C12
# Shape0.0,0.02737880733026168,0.025061355602105543,0.024855596356865736,0.04172529982684389,0.04197601553915254,0.04412084124695383,0.014477888044502367,0.014484474696424611,0.014649556146752056
# Shape1.0,0.00867236707852795,0.006437568969436116,0.009103200224375581,0.007274704409230082,0.007961847238677959,0.006322679206896595,0.007966713326711878,0.00813916093811683,0.0075937194048102405
# Shape2.0,-0.03605117440838193,-0.03149892457116729,-0.0339587965810626,-0.04900000423548183,-0.049937862777285145,-0.05044352045324476,-0.022444601371365988,-0.022623635634759498,-0.022243275551709796
Density,0.04677360750039988,0.046607399500622496,0.04290819780769493,0.06331871526812857,0.06401754727049298,0.06390506697161004,0.024657308215009277,0.024319801332999172,0.023872919994687908
Lx,0.06446058153892513,0.061914858596519406,0.06255363233982868,0.08257342087422409,0.0831070586898311,0.08220804910393366,0.03384603353521603,0.03097498939764605,0.03154970729967099
Ly,0.05794668955999624,0.056854389742880554,0.05610554352387999,0.0792452193845353,0.08137280776028581,0.07784128492472246,0.02649313072574251,0.025894172646074534,0.025901794674371002
Lz,0.05999308181038995,0.06019707261661761,0.055616700218457174,0.07712893440186663,0.07698482553559245,0.07529207720167302,0.02691125234036878,0.026282393595096813,0.025610760714908004
(omega^2)_0,-0.13986880484549513,-0.12449099081368037,-0.09127473909769061,0.3159430065477455,0.3126077451318179,0.3045921699858226,0.09315499071705097,0.11079949047101578,0.1148226555151779
(omega^2)_1,-0.09280531053373034,-0.12156937690806666,-0.15153914967100995,-0.6869690694795807,-0.6953835106385196,-0.6106284452463486,-0.3617134669358552,-0.39322698022202257,-0.3896511226562279
(omega^2)_2,0.18214972941081964,0.1866164118800498,0.13167861428097816,-0.024720263506400185,-0.021397799426113473,0.015767001102010188,0.265689610780187,0.26270162811195635,0.26224981586321094
(omega^2)_3,-0.01777580073427726,-0.019492614984232094,-0.02119453303086042,-0.21574351178163864,-0.20358581161028927,-0.20891389350440748,-0.09836939513303108,-0.08196840664569886,-0.08500686387216001
(omega^2)_4,0.015290389836413242,0.014776799810086956,0.047782655865289035,0.7929010956439517,0.7972717833104473,0.6210157595869091,0.10989887276341785,0.1000793353439102,0.1049123300546049
(omega^2)_5,0.15927368114385418,0.19480728026710448,0.2782135702458198,0.3756045924662231,0.3659320569192175,0.2814302853667986,0.3269455631901543,0.34875338884495966,0.3450762101173381
(omega^2)_6,-0.0273892452103698,-0.0462057974785687,-0.0498588845712796,-0.2579823308227952,-0.23805857847448791,-0.1798862260869965,-0.3833992683377847,-0.3891050917325647,-0.40454274691002123
(omega^2)_7,0.15262772686637588,0.11774178028124178,0.0021681594308726876,-0.07823422533765151,-0.08234573823943997,-0.05961775769373914,0.08926957251669781,0.085536167458073,0.08493797973484421
(omega^2)_8,-0.0817216064661169,-0.0813906239927531,-0.11804844656010087,-0.2468454458011115,-0.25154768425308666,-0.12895130254979828,-0.0970487496957687,-0.1132429677170573,-0.10439237633600652
(omega^2)_9,-0.24292265765427468,-0.2076281608899966,-0.1945921884270046,-0.24207494723953232,-0.2554036899419354,-0.25721270982800487,-0.025811663085740483,-0.038041469899668945,-0.035784671929950634
(omega^2)_10,0.33075377248795634,0.3504319097720381,0.39908418777524,0.5631635438882286,0.582818137665856,0.49529010276290786,0.3293970665853425,0.3593585140523488,0.34919242356330543
(omega^2)_11,-0.30760322195637646,-0.2867488952786199,-0.16984109315213955,-0.16952052040049354,-0.18088161768428107,-0.15255907962917878,0.005052888244745944,-0.02199028107526856,-0.029657402896494173
(omega^2)_12,0.1966387060442526,0.16945298069102846,0.1085227128777536,0.0662579801555746,0.08193253680725446,0.11900135171824956,-0.30105074220013023,-0.2875149712515518,-0.28307893486208396
(omega^2)_13,-0.10586851011731098,-0.1325443524482056,-0.045871462259810376,-0.6871401361555682,-0.691765672899021,-0.7133733705546307,0.2377059718001703,0.22405878254171332,0.2444067116669567
(omega^2)_14,0.3951736334621526,0.32639093828729115,0.2762130341404068,0.9776723352604718,0.9674554599024736,1.0508058617000573,-0.03784962841168038,-0.0038619216767637604,-0.015379734636387865
(omega^2)_15,-0.3001433023363719,-0.25530222478269227,-0.2570237052441545,-0.5237508612320632,-0.5664437142248271,-0.562596325616372,-0.4923741144199747,-0.4581611675657031,-0.4456826897204582
(omega^2)_16,0.4536749228285208,0.45702967831093255,0.3854396867960398,0.5275502059337579,0.5553243172871158,0.42088790266613274,0.33231641422472974,0.24352397215883811,0.21947028867605542
(omega^2)_17,-0.4650877899718857,-0.46112864110565494,-0.32690641121902647,-0.7145082681353995,-0.6995218901254524,-0.7035034121910984,-0.1128108036756893,-0.07947561610900111,-0.07534790983258027
(omega^2)_18,-0.23198534311818506,-0.15119473716443488,-0.2718147553691644,-0.39067719942905,-0.38998796969856886,-0.4025915011502337,0.032944154883036925,0.00543309713139517,0.013897972027441419
(omega^2)_19,0.5850579036404344,0.5339374733726805,0.549011567593349,1.1041522097891434,1.1230612151367754,1.174793948480889,0.44123097809907197,0.5239916957559778,0.5336156664199181
(omega^2)_20,-0.33091302733606676,-0.2926367674207755,-0.3038297004133873,-0.1556897743213128,-0.22111947222901818,-0.28609007307066214,-0.08228869464783928,-0.05197370088732617,-0.0496906447335157
(omega^2)_21,0.20989107372205193,0.21511649073542147,0.11323334097959806,0.12515278078542824,0.2175849856383727,0.23637206132684163,-0.09018867765893171,-0.16173443071808843,-0.1770571246415156
(omega^2)_22,-0.4150966538458768,-0.49516812250386755,-0.3083141166757794,-0.1334119916626656,-0.22238778243931373,-0.15946575906215898,-0.1068524302866169,-0.12839179215333607,-0.1658814419078296
(omega^2)_23,0.1547949762923787,0.17503875795343493,0.17161375358983827,0.4666358209619321,0.4544444866662254,0.38732785962796634,0.0903333278798209,0.14516069364354114,0.22251594050277457
(omega^2)_24,0.2818187007340184,0.24460077420148213,0.19385188960186914,0.34580631175289256,0.3762192888416507,0.41199557655588825,0.04687670577136713,-0.014462504306307522,-0.012809363461520729
(omega^2)_25,-0.011554515534579701,-0.05571895701958085,-0.15171562153151608,-0.26130439087269697,-0.2353873189795882,-0.14443898367200436,0.11423629075377495,0.13464489208528452,0.094759112232223
(omega^2)_26,-0.08874290941574184,0.037577967500552575,-0.024262142662466873,0.012692605404076462,-0.020392262182757803,0.034767754159015785,-0.25624284149329224,-0.24725540624479372,-0.24743449323284533
(omega^2)_27,0.09627901879262649,-0.00670387966800387,0.1996458205926447,-0.09055882920845332,-0.09110583023328234,-0.12173014082541178,0.024609801196904646,0.016744183637214374,-0.020237859854721665
(omega^2)_28,0.034618164937598395,0.1312633774315865,-0.05187968406991053,-0.4662594205502829,-0.48595660041975847,-0.47422896356451544,-0.04629508007230834,-0.07708033566582036,-0.025198764798426698
