,C00,C11,C22,C33,C44,C55,C01,C02,C12
(omega^2)_13,-0.32608841916867426,-0.5215620838821098,0.028378517286562377,-1.3054507406930345,-1.225952337939966,-1.1513502581896367,-0.01777037341318699,0.05808497168859528,0.1366399347359136
(omega^2)_14,-0.5597658892158562,-0.723131457144125,-0.6913907289107721,0.30565484458199077,0.17460253775969237,0.2715375207617211,-0.27235465575136053,-0.44337945748734564,-0.4897162315834874
(omega^2)_15,0.7419749088869976,0.8080641456386441,0.8997640233655071,0.7566967805551784,0.7847309471323934,0.6665294943338442,-0.1782756529788454,0.16109212900203335,0.14428784076965095
(omega^2)_16,-0.12993797249761035,-0.13715923991964413,0.08553240197009337,-0.6262654699763274,-0.5702683004477107,-0.5520985556609981,-0.060151174370590754,-0.024996268466984328,-0.07794410453024347
(omega^2)_17,-0.6772612741352431,-0.41710091520397463,-0.999570567786313,-0.7385495565069674,-0.9348239306824911,-0.9646470504475967,-0.20222005527018697,-0.23461725694664598,-0.08663294402179389
(omega^2)_18,0.31764107243266404,0.4113115187916099,0.6627811355960115,0.5696234576460065,0.8174876180257337,0.3032271584129498,1.008969559698727,0.8206006053905878,0.6952795653796517
(omega^2)_19,-0.3526605302700919,-0.6130574782982683,-0.57949786968277,-0.6272256800319067,-0.7003764355200596,-0.08583170112267391,0.43992682067117006,0.3629214981434562,0.3279280747692683
(omega^2)_20,1.1771080932823619,1.105431928214287,1.1133681884132125,1.9161825010729596,1.980452668911242,1.743903488754658,0.14463193301418276,0.2857345136205502,0.2896020274950655
(omega^2)_21,-0.7595705432802738,-0.6975002977598275,-0.649829730422281,-0.5674827112672124,-0.6603826118389163,-0.6936679089294968,-0.7935429104069922,-0.7190702191401972,-0.9069138791543047
(omega^2)_22,-0.20659871562946303,-0.26632485745304185,-0.36857477477013134,0.18179443651577215,0.060665069167748664,0.36428667920310237,0.4875099648150718,0.6852799885232564,0.9681068511084343
(omega^2)_23,0.46590877836659095,0.47985058431262506,0.20540976778642472,0.7624355526440652,0.9671960716799753,0.5655278184947643,0.3674142987807074,0.005708040332337516,-0.060232577400350595
(omega^2)_24,0.2881235475590891,0.14889294657557062,0.44682784816655485,-0.2560864532295408,-0.18979186643021584,0.12520405543297097,-0.3906675670637918,-0.26989300502853764,-0.1763625953265231
(omega^2)_25,0.8803194957849627,1.0837933817320506,0.7570799931930864,2.144768791030323,2.192214987843509,1.691605088262868,0.3201993685795428,0.32043506335794303,0.0859482269076276
(omega^2)_26,-0.4811895931588216,-0.7655547373413902,-0.4307559041359429,-1.464680623827335,-1.7911702782216086,-1.7182674347535913,-1.1779268785284116,-1.1948055542662406,-1.0498085412646463
(omega^2)_27,0.4574015259297498,0.5607664167765237,0.11723109386093863,-0.7023098388335988,-0.24474144082686133,0.25681541576985145,0.5242214607727027,0.7905049054978754,0.7317087988602788
(omega^2)_28,-0.29783185762586967,-0.08195630769130838,-0.7392474628182463,-0.7559082787815874,-1.1164460781855603,-1.5345317747271394,-0.5975101263060288,-0.6696823951789597,-0.6784667123316581
(omega^2)_29,-1.0859292210535472,-1.6322953556782231,-0.9338002414155084,-0.35754871831154356,-0.3815065054769511,-0.22780254731919936,-0.12519092460115333,-0.37369591819418774,-0.36803667308505944
(omega^2)_30,0.9499853994433424,1.1654673891712761,1.760602256223002,-0.10425984500140029,-0.012746716182140405,0.15978751903538901,1.0986970639150553,0.9679449141378185,1.0963547359627719
(omega^2)_31,-0.27767181398622165,0.3055127093678395,-0.018771458694356147,1.6830703751686928,1.6302771805884868,1.5912024059674958,-1.0175740545448122,-0.9222632550870771,-0.8964550208430647
(omega^2)_32,0.08505873331743308,-0.2792236406603079,-0.7992276261104685,-1.047943882612219,-1.0567260840256798,-0.8833349177071755,-0.13905614128830596,-0.06333864367946657,0.048541246314375175
