,C00,C11,C22,C33,C44,C55,C01,C02,C12
# Shape0.0,9468177617.866217,-1894851075.307472,18135232954.059826,-2336132904.0207157,-3368151149.7143836,2364980768.6627517,15749814207.742165,15960134830.467745,17167335804.979261
# Shape1.0,9468177617.866611,-1894851075.3097067,18135232954.0494,-2336132904.043105,-3368151149.7395687,2364980768.646067,15749814207.72366,15960134830.449284,17167335804.959925
# Shape2.0,9468177617.880508,-1894851075.2886038,18135232954.056473,-2336132904.0701876,-3368151149.7644577,2364980768.61835,15749814207.706512,15960134830.430788,17167335804.942429
bx,-0.05254936218261719,-0.0539088249206543,-0.04706382751464844,-0.12674331665039062,-0.1262509822845459,-0.11623740196228027,-0.03294563293457031,-0.03296375274658203,-0.03217506408691406
by,-0.058760643005371094,-0.05764281749725342,-0.05045127868652344,-0.12691402435302734,-0.1273202896118164,-0.11623072624206543,-0.033089637756347656,-0.033471107482910156,-0.03248405456542969
bz,-0.06029033660888672,-0.05885171890258789,-0.05107307434082031,-0.13045406341552734,-0.13115143775939941,-0.12173759937286377,-0.03475189208984375,-0.035386085510253906,-0.03452777862548828
eig_0,-0.4387073516845703,-0.4345651865005493,-0.37123870849609375,0.20463085174560547,0.20323562622070312,0.17002034187316895,-0.015486717224121094,-0.000274658203125,-0.0011892318725585938
eig_1,0.2745833396911621,0.27576833963394165,0.21804046630859375,-0.33297669887542725,-0.3296438455581665,-0.23834896087646484,-0.24814891815185547,-0.26013708114624023,-0.25715065002441406
eig_2,0.3103294372558594,0.29822206497192383,0.27274227142333984,-0.04157686233520508,-0.04857003688812256,-0.016359329223632812,0.35835933685302734,0.35016918182373047,0.3539295196533203
eig_3,0.025702595710754395,0.03010687232017517,-0.012907981872558594,-0.06661871075630188,-0.0571172833442688,-0.03523385524749756,-0.027360916137695312,-0.029870033264160156,-0.03005838394165039
eig_4,-0.5467883348464966,-0.5426732450723648,-0.5468995571136475,0.19806566834449768,0.20195111632347107,-0.00035540759563446045,-0.26865053176879883,-0.2595968246459961,-0.2623937129974365
eig_5,0.15138769149780273,0.15779376029968262,0.25951194763183594,0.2741084098815918,0.26565617322921753,0.20472878217697144,0.42836546897888184,0.44197750091552734,0.43526291847229004
eig_6,0.051918208599090576,0.04858987033367157,0.07802152633666992,-0.07186906039714813,-0.06730028986930847,-0.020463943481445312,-0.36226487159729004,-0.3733412027359009,-0.37274158000946045
eig_7,0.07918965816497803,0.07662131637334824,-0.022274374961853027,0.017653249204158783,0.021360322833061218,0.009901650249958038,0.11654007434844971,0.1342182755470276,0.13766038417816162
eig_8,0.017416387796401978,-0.0027450844645500183,-0.027127087116241455,-0.04433402419090271,-0.04843391478061676,0.07899796217679977,-0.043201982975006104,-0.05915236473083496,-0.05344957113265991
eig_9,-0.0524863600730896,-0.04347041994333267,0.061057209968566895,-0.09810343384742737,-0.09562039375305176,-0.09591248631477356,-0.0428614616394043,-0.05429273843765259,-0.05933213233947754
eig_10,0.07630977034568787,0.08771374076604843,0.10128867626190186,0.02346547693014145,0.020153731107711792,-0.028072543442249298,0.44740036129951477,0.4541985094547272,0.46499061584472656
eig_11,0.09189629554748535,0.0899609848856926,0.0777498185634613,0.003986947238445282,0.005115009844303131,0.03910904377698898,0.01993739604949951,0.03487357497215271,0.024722695350646973
eig_12,0.09059713780879974,0.09095887094736099,0.046369969844818115,-0.09336328878998756,-0.09316772222518921,-0.07719679921865463,-0.4750159978866577,-0.49928590655326843,-0.4961988627910614
eig_13,0.31927044689655304,0.3240879811346531,0.31780099868774414,-0.3144350200891495,-0.32077527046203613,-0.27020230144262314,0.33239367604255676,0.3320923447608948,0.3373548686504364
eig_14,-0.3736812248826027,-0.3795131854712963,-0.33277200162410736,0.21683397330343723,0.2274419479072094,0.2764794547110796,-0.2251899093389511,-0.22510409355163574,-0.22272813320159912
eig_15,0.09717504680156708,0.06783048808574677,0.051256194710731506,-0.044829605147242546,-0.055760230869054794,-0.033790348097682,-0.18961699306964874,-0.16779273748397827,-0.17275424301624298
eig_16,0.14392926916480064,0.14945379551500082,0.13350985199213028,-0.029505670070648193,-0.03422924503684044,-0.0694813346490264,-0.1765490248799324,-0.20445002615451813,-0.2055116519331932
eig_17,0.08564114570617676,0.09179321117699146,0.024877876043319702,-0.04630846343934536,-0.04259679466485977,-0.15676824748516083,0.310534730553627,0.3071727007627487,0.30431796610355377
eig_18,-0.0681278146803379,-0.042708320543169975,0.04479850083589554,-0.012571942992508411,-0.028669951483607292,-0.03857367020100355,0.22183362394571304,0.23739730566740036,0.22038395702838898
eig_19,-0.15387725830078125,-0.16520300693809986,-0.08176629990339279,0.19149281922727823,0.20393534936010838,0.21157676354050636,0.2733408063650131,0.2746927961707115,0.287785179913044
eig_20,-0.10995255783200264,-0.11105701606720686,-0.14363672584295273,0.07515743002295494,0.0525619788095355,0.031746694818139076,-0.1882924661040306,-0.17211882025003433,-0.18641819804906845
eig_21,-0.03930285945534706,-0.06214125035330653,-0.19030386954545975,0.011087295599281788,0.029493000358343124,0.001481696031987667,-0.29923583194613457,-0.32519766315817833,-0.3270959295332432
eig_22,-0.18909667991101742,-0.18244735524058342,-0.1501256674528122,0.0680759521201253,0.05259170476347208,0.11454042419791222,0.1726563572883606,0.2238028459250927,0.2156061716377735
eig_23,-0.1541553158313036,-0.10221873922273517,-0.045150626450777054,0.06750322692096233,0.07973688933998346,0.08114426350221038,0.1270156167447567,0.09528209269046783,0.11849416047334671
eig_24,0.12541678361594677,0.0983460028655827,0.09700262919068336,-0.14759633922949433,-0.1335367625579238,-0.06424035876989365,-0.1643003448843956,-0.17264849692583084,-0.15604543313384056
eig_25,-0.17767067812383175,-0.13476011902093887,-0.19875096157193184,0.21140550263226032,0.20686418656259775,0.15219656331464648,0.1158355139195919,0.10006281733512878,0.07250913605093956
eig_26,0.005397062748670578,-0.010700575541704893,0.03752881661057472,-0.16951891360804439,-0.1652386635541916,-0.08276489516720176,-0.6397231034934521,-0.5921525470912457,-0.5852448996156454
eig_27,0.21157598739955574,0.18295496422797441,0.18540750269312412,-0.055495146560133435,-0.06879805447533727,-0.05421515766647644,0.316892183967866,0.30911901919171214,0.30403057183139026
eig_28,0.25707021192647517,0.2649696124572074,0.22273758018855006,-0.25512610367150046,-0.24644666007952765,-0.2635570306592854,-0.07225065014790744,-0.08199279103428125,-0.08067142020445317
eig_29,-0.3224158327211626,-0.3228619680085103,-0.22538183082360774,0.18523832383652916,0.17853001996991225,0.15518542803329183,-0.4563154285424389,-0.48301011900184676,-0.4786510876729153
eig_30,0.38545831956434995,0.38374580720847007,0.391168205300346,0.02089669521956239,0.04355186480097473,-0.07746114263136405,0.8099994247313589,0.8046546968398616,0.8016031221486628
eig_31,-0.08270848193205893,-0.05159541664761491,-0.007186912233009934,0.11716372420778498,0.06888377090217546,0.08276011527050287,-0.1367089634295553,-0.1288240235298872,-0.10493075218982995
eig_32,0.06607265374623239,0.03845079819438979,0.021587204188108444,-0.08586394164012745,-0.05853480566293001,-0.01266978366766125,-0.00015471363440155983,-0.005452794022858143,-0.031025702133774757
eig_33,0.3041750823613256,0.3022280263248831,0.3228483353741467,0.008515043708030134,0.002646990120410919,-0.012392139178700745,0.7910681306384504,0.7972583081573248,0.7974826672580093
eig_34,-0.19012207922060043,-0.25370456158270827,-0.31035311514278874,-0.05832965637091547,-0.03290317073697224,0.0332316050917143,-0.41017931123496965,-0.4225503043271601,-0.4148417817777954
eig_35,0.07392425066791475,0.173811262648087,0.14846241660416126,0.025748767075128853,0.013737039524130523,0.11495464848121628,-0.027708759997040033,-0.035000195261090994,-0.04408637946471572
eig_36,-0.24351405538618565,-0.27575594643712975,-0.29993733880110085,0.32320052111754194,0.3524020346230827,0.23706846899585798,-0.4698645453900099,-0.4419959837105125,-0.4461575048044324
eig_37,0.033600810915231705,0.006918698112713173,0.058985885698348284,-0.03158840810647234,-0.02127691189525649,0.01606752019142732,0.2490797822829336,0.21223445422947407,0.2575126134324819
eig_38,-0.08797871199931251,-0.07612792477266339,-0.06508965431567049,0.19744274235108605,0.1527250483904936,0.08490470009382989,-0.2581080341988127,-0.2179826631108881,-0.25142764229531167
eig_39,0.15182633383665234,0.14686400661594234,0.009149976773187518,-0.013779318775050342,-0.014667260518763214,-0.058018856710987166,0.1550931273959577,0.15425230818800628,0.18134985072538257
eig_40,0.2075510041322559,0.15725522732827812,0.13372332626022398,0.06920262376661412,0.07336956553626806,0.05539406406751368,0.451107234461233,0.4700540798949078,0.44662373536266387
eig_41,-0.08282387087820098,-0.0063008020661072806,-0.06368361983913928,-0.0035242915037088096,0.00835396334878169,-0.008869327823049389,-0.34697720874100924,-0.3530864166095853,-0.35121692426037043
eig_42,0.2535021782387048,0.1957513630622998,0.17819754034280777,-0.1309759599971585,-0.13526916631963104,-0.042973106959834695,0.20772411674261093,0.1576649947091937,0.1461162273772061
eig_43,-0.21509103174321353,-0.19650871626799926,-0.13554004998877645,-0.14279174455441535,-0.153717081528157,-0.189343910489697,-0.6068141837604344,-0.5438883695751429,-0.5418206709437072
eig_44,-0.058865765342488885,-0.04231340723345056,-0.08918461762368679,0.07504592090845108,0.09915923012886196,0.00818765297299251,0.0006513034459203482,-0.007140967529267073,0.005411756224930286
eig_45,-0.02865703124552965,-0.011935477596125565,0.05667860363610089,0.04041640606010333,0.017844138928921893,0.1331973948108498,-0.05788846639916301,-0.05678235739469528,-0.0847135866060853
eig_46,0.4870273401029408,0.4548711024399381,0.3864562902599573,0.07045431481674314,0.07343717658659443,0.0005700543988496065,0.9620184567756951,0.9534753086045384,0.974629239179194
