0.000000000000000000e+00,nan,nan
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.647288815568573108e-07,2.621741576977319514e-08
3.000000000000000000e+00,5.621927916647017930e-07,8.947576176406938530e-08
4.000000000000000000e+00,6.453946241614893484e-07,1.027177446802370240e-07
5.000000000000000000e+00,1.238863895375275100e-06,1.971713127670557053e-07
6.000000000000000000e+00,2.475283999584350525e+00,3.939536840901264325e-01
7.000000000000000000e+00,2.726512909430888421e+00,4.339380069397910655e-01
8.000000000000000000e+00,3.328424430825648539e+00,5.297352008737302720e-01
9.000000000000000000e+00,3.405350710420976146e+00,5.419783985249958524e-01
1.000000000000000000e+01,3.692713331560420809e+00,5.877135801391820680e-01
1.100000000000000000e+01,3.817166156899659768e+00,6.075208624736742058e-01
1.200000000000000000e+01,3.937487873274379879e+00,6.266706583960119925e-01
1.300000000000000000e+01,4.055284093501310139e+00,6.454185091226694038e-01
1.400000000000000000e+01,4.099272862210450619e+00,6.524195391032552305e-01
1.500000000000000000e+01,4.253214253575222870e+00,6.769200724854027573e-01
1.600000000000000000e+01,4.424778579500851627e+00,7.042253830146956162e-01
1.700000000000000000e+01,4.454031674252376227e+00,7.088811576451362617e-01
1.800000000000000000e+01,4.541040905148905793e+00,7.227291068369430249e-01
1.900000000000000000e+01,4.567917899950142413e+00,7.270067134150149935e-01
2.000000000000000000e+01,4.619591512713641102e+00,7.352308243137423149e-01
2.100000000000000000e+01,4.681830091017956441e+00,7.451364017018861086e-01
2.200000000000000000e+01,4.832187005469837260e+00,7.690664478649481550e-01
2.300000000000000000e+01,4.961265430175397562e+00,7.896099172033530511e-01
2.400000000000000000e+01,5.073414672438521400e+00,8.074590234735397054e-01
2.500000000000000000e+01,5.117471683362267321e+00,8.144709145399074979e-01
2.600000000000000000e+01,5.216215041343855496e+00,8.301864080601698559e-01
2.700000000000000000e+01,5.291378307065035536e+00,8.421490133386252408e-01
2.800000000000000000e+01,5.300472066766056756e+00,8.435963301463326180e-01
2.900000000000000000e+01,5.509860541786836485e+00,8.769215409723636334e-01
3.000000000000000000e+01,5.574127330906408773e+00,8.871499181373879717e-01
3.100000000000000000e+01,5.609792976981646362e+00,8.928262820088280760e-01
3.200000000000000000e+01,5.754528173465947916e+00,9.158616039686814370e-01
3.300000000000000000e+01,5.899414115727116048e+00,9.389209178640732789e-01
3.400000000000000000e+01,5.978935806267725361e+00,9.515771879966352653e-01
3.500000000000000000e+01,6.058864501439572336e+00,9.642982349281199461e-01
3.600000000000000000e+01,6.128383190059147445e+00,9.753624778591917233e-01
3.700000000000000000e+01,6.480931828304195896e+00,1.031472336316207494e+00
3.800000000000000000e+01,6.516874978844665378e+00,1.037192866395019397e+00
3.900000000000000000e+01,6.581585142128949073e+00,1.047491808749996922e+00
4.000000000000000000e+01,6.584830213648248609e+00,1.048008277922980014e+00
4.100000000000000000e+01,6.673176995274332945e+00,1.062069104925031704e+00
4.200000000000000000e+01,6.720341239602760197e+00,1.069575527547094618e+00
4.300000000000000000e+01,6.813300560928919225e+00,1.084370463042620747e+00
4.400000000000000000e+01,6.889246419883631845e+00,1.096457621902623192e+00
4.500000000000000000e+01,6.934317091850634718e+00,1.103630842134645018e+00
4.600000000000000000e+01,6.949461223764045847e+00,1.106041105587500128e+00
4.700000000000000000e+01,7.100417215933018333e+00,1.130066497930533487e+00
4.800000000000000000e+01,7.117264568311284734e+00,1.132747837339545649e+00
4.900000000000000000e+01,7.261257074336687545e+00,1.155664956441678104e+00
5.000000000000000000e+01,7.294304820296566128e+00,1.160924668569237816e+00
5.100000000000000000e+01,7.308649972371983772e+00,1.163207770431445631e+00
5.200000000000000000e+01,7.670395620225468392e+00,1.220781378429307784e+00
5.300000000000000000e+01,7.715734202438931710e+00,1.227997237901358618e+00
5.400000000000000000e+01,7.755486828204658956e+00,1.234324064792856390e+00
5.500000000000000000e+01,7.771751995342095043e+00,1.236912746542995212e+00
5.600000000000000000e+01,7.799118066010825245e+00,1.241268191962925815e+00
5.700000000000000000e+01,7.877309933950238374e+00,1.253712814255071972e+00
5.800000000000000000e+01,7.907795877233384729e+00,1.258564802823403994e+00
5.900000000000000000e+01,8.002184690873212602e+00,1.273587249086762352e+00
6.000000000000000000e+01,8.028831402951169594e+00,1.277828205031115605e+00
6.100000000000000000e+01,8.036730639968586942e+00,1.279085407649092065e+00
6.200000000000000000e+01,8.050290906835298799e+00,1.281243591150574623e+00
6.300000000000000000e+01,8.077508329289230460e+00,1.285575378472338048e+00
6.400000000000000000e+01,8.104549731481229813e+00,1.289879151299330839e+00
6.500000000000000000e+01,8.384964025508152119e+00,1.334508472307339710e+00
6.600000000000000000e+01,8.413931689699936101e+00,1.339118819253288128e+00
6.700000000000000000e+01,8.441055823535240421e+00,1.343435759230263038e+00
6.800000000000000000e+01,8.449156165254313677e+00,1.344724968655587105e+00
6.900000000000000000e+01,8.485195116876946386e+00,1.350460745950178731e+00
7.000000000000000000e+01,8.544398747132314398e+00,1.359883296354305493e+00
7.100000000000000000e+01,8.684384817026371550e+00,1.382162771341952201e+00
7.200000000000000000e+01,8.713233077975463203e+00,1.386754114671604921e+00
7.300000000000000000e+01,8.819192819816557005e+00,1.403618131354356091e+00
7.400000000000000000e+01,8.865438763892694141e+00,1.410978401952024841e+00
7.500000000000000000e+01,8.913750173500497809e+00,1.418667401598844080e+00
7.600000000000000000e+01,8.931423705052607076e+00,1.421480231507252778e+00
7.700000000000000000e+01,8.933708789680078866e+00,1.421843914021098110e+00
