# Shape,Cry_st,Density,Lx,Ly,Lz,C00,C01,C02,C03,C04,C05,C11,C12,C13,C14,C15,C22,C23,C24,C25,C33,C34,C35,C44,C45,C55,(omega^2)_0,(omega^2)_1,(omega^2)_2,(omega^2)_3,(omega^2)_4,(omega^2)_5,(omega^2)_6,(omega^2)_7,(omega^2)_8,(omega^2)_9,(omega^2)_10,(omega^2)_11,(omega^2)_12,(omega^2)_13,(omega^2)_14,(omega^2)_15,(omega^2)_16,(omega^2)_17,(omega^2)_18,(omega^2)_19,(omega^2)_20,(omega^2)_21,(omega^2)_22,(omega^2)_23
0.000000000000000000e+00,0.000000000000000000e+00,2.707139448070108756e+00,3.011895059908729078e-01,1.740274355262280137e-01,4.820192741957964877e-01,5.784199239031178053e-01,1.503446907818365708e-01,1.782607869565910885e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.265485704212737872e+00,2.535213679986310642e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.591348307588692723e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.795541913926058442e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.804377929788848256e-02,0.000000000000000000e+00,1.462215008708916963e-02,2.638546874838583189e-01,1.264813602825030081e+00,1.476631837588237017e+00,1.562963570897794918e+00,1.599539806890738936e+00,1.785855830045016246e+00,1.867315214715802307e+00,1.983964277978188528e+00,2.181038288341312636e+00,2.532156951685049506e+00,3.357577685913550436e+00,3.417823365801094582e+00,3.506622007232987226e+00,3.826122351735135485e+00,4.139383134189708713e+00,4.336095723934758617e+00,4.444030594172865278e+00,5.025282827054726731e+00,5.244545549006611296e+00,5.265662997237887666e+00,6.135064717848830007e+00,6.532797274039221058e+00,6.554144490547573199e+00,6.673643579441728590e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.330001167779080617e+00,2.625467076678983380e-01,2.215632891485644629e-01,3.374697932683860535e-01,4.884900865871579789e+00,2.766899479189424693e-01,1.172410983360706871e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.554774888404843125e+00,4.297724200226560320e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.611288372736440100e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.410125166808915420e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.616384220623890200e-01,0.000000000000000000e+00,2.410300175421692392e-02,5.936767444883170874e-01,7.351602840873080469e-01,1.415797574893361110e+00,1.476729143417636170e+00,2.012729503859788327e+00,2.113019946590874998e+00,2.318797289153487373e+00,2.364535698007951048e+00,2.716714856619287133e+00,3.194229840114847008e+00,3.257664285005506866e+00,3.467955220629217905e+00,4.253033296683930153e+00,4.282311600421940589e+00,4.685223753028129323e+00,4.784032913466369941e+00,5.257369449556195562e+00,5.750421572105774537e+00,5.789218343006992562e+00,5.829967520742356690e+00,6.403844599163806883e+00,6.974488191293788830e+00,7.578072124861491510e+00,7.808510732138361554e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.024429397617737436e+00,1.032789885389547441e-01,4.434912510647626704e-01,4.664206315184237228e-01,7.332298883457220029e-01,2.195970117306749181e-01,1.838139547088711301e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.307647386466731732e-01,1.733603103575329929e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.091940399535715978e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.259312088858009770e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.264647470614149172e-01,0.000000000000000000e+00,3.958518467156502130e-02,1.079397991775796761e-01,3.091175961141672812e-01,4.119686341908057603e-01,5.794652600552692157e-01,6.099369076665679401e-01,1.180296424178588932e+00,1.191643498326551143e+00,1.354024546550289143e+00,1.486953085847981137e+00,1.500620469013054459e+00,1.724061805971568884e+00,1.870670718554939826e+00,2.046383976301397567e+00,2.152796198178578813e+00,2.559446456341187393e+00,2.564712243136444414e+00,2.636134536810488704e+00,2.925682542719099111e+00,3.107896641855242503e+00,3.258540899726320106e+00,3.500674265652734984e+00,3.610704629674197363e+00,3.906890243318681399e+00,4.202279926258771781e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.326706053659393092e+00,3.676687980863554972e-01,2.931102068092075186e-01,3.207004271354058633e-01,4.676839831886311138e+00,2.119967790251197637e-01,3.264126055541050064e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.289057645534724461e+00,2.722423411506393887e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.305333714483494667e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.498972406841403204e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.172309684272716590e-01,0.000000000000000000e+00,1.802826086243426440e-01,1.694649112561619653e+00,2.325933820408990105e+00,2.430076020052402086e+00,5.020095390950988445e+00,5.140483418173795727e+00,5.614807671412223478e+00,5.615992497581135723e+00,6.589018317536954328e+00,7.561610576604295808e+00,8.457970642201704692e+00,9.218835970343832287e+00,9.403674288533153458e+00,1.018447774119257154e+01,1.117086701928254300e+01,1.186369633534522805e+01,1.216394541751495595e+01,1.316874225191342873e+01,1.365473637191147915e+01,1.404626065757066833e+01,1.431600170347223155e+01,1.556417489374766028e+01,1.616533547301677487e+01,1.633914893983846639e+01,1.734715270184353031e+01
0.000000000000000000e+00,0.000000000000000000e+00,6.155579013903436980e+00,4.274575170462446283e-01,3.025185683921535196e-01,2.803329832631235585e-01,2.690275817672876268e+00,2.759430645678439542e-01,2.540091799320601251e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.484705124663102893e+00,3.912795318725487137e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.203528396963841951e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.387052049650349117e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.513818503290382533e-01,0.000000000000000000e+00,1.981437064585255259e-01,1.281650933896612887e+00,2.929300611125730036e+00,3.514625820111955790e+00,4.150263194109659715e+00,4.172348277415811602e+00,4.271664771755295575e+00,5.246420877217389922e+00,5.293675012033213889e+00,7.883556571292478665e+00,8.579488889245919125e+00,8.654042897050993943e+00,8.887914132664448630e+00,9.443540920989361709e+00,9.944273264871952733e+00,1.027059912266084574e+01,1.082400092102914613e+01,1.189096449917436260e+01,1.265535541327569469e+01,1.308724171294515592e+01,1.344169309330532691e+01,1.401393642743708767e+01,1.478156188272451743e+01,1.526966518602820422e+01,1.736044675685617733e+01
0.000000000000000000e+00,0.000000000000000000e+00,4.609803458315946401e+00,4.917539609763511010e-01,3.792630494673280839e-01,6.581612944622257377e-02,5.102349927537165541e+00,2.875912968376116430e-01,1.984414336769005915e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.459523256373102207e+00,8.538533178346757735e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.794704659735631314e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.638196250148613586e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.221544558072945597e-02,0.000000000000000000e+00,7.343524238445531260e-03,8.067062326304701853e-03,1.443442301482607548e-01,2.537506576065268193e-01,3.466693468789707744e-01,3.477056461077981386e-01,4.316322607690718516e-01,5.732395277232327224e-01,7.825851938466538149e-01,7.827550454974570027e-01,9.833043981391159649e-01,1.032850224972136299e+00,1.573650970482196820e+00,1.583260337911756688e+00,1.623375747961950832e+00,1.743127175102890947e+00,2.333905997736950511e+00,2.416155819683091899e+00,2.430340949211776902e+00,2.722036931446139452e+00,3.197694463937389209e+00,3.714985110544628988e+00,3.720448575937760793e+00,3.929758633104628807e+00,4.176661205816584399e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.775850237540296028e+00,4.114985123859957739e-01,2.732950904272426484e-01,4.418717468642876511e-01,4.777948038673323516e+00,2.654494714205395955e-01,1.809265605266822674e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.847900068269856089e+00,1.696851664283412220e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.580336631030336614e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.564158811373802305e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.454859146474350995e-02,0.000000000000000000e+00,7.924269809476933157e-02,3.159810587716558317e-01,7.404281262299328148e-01,1.469373183344065525e+00,1.543781152605493423e+00,1.572632034798717715e+00,1.822055893938393289e+00,2.073158853981842409e+00,2.123900562610387954e+00,2.593262199146737501e+00,3.403519344819327497e+00,3.733090378760154149e+00,4.297613890831670780e+00,4.405715244905805683e+00,4.564488656060937011e+00,4.619115176855390636e+00,4.911732784052958323e+00,5.054804461745893818e+00,5.102630089457237617e+00,5.238180312859442189e+00,5.452383772427659814e+00,5.848064878610482964e+00,6.308822596116345771e+00,6.526864840663828105e+00,6.659921794676789908e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.726107577055266518e+00,5.353993779996671365e-02,3.165703249003468667e-01,4.644817925272812786e-01,2.202004178938766543e+00,9.376772075375447435e-02,2.822048356004618896e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.387181887431180094e+00,7.099071587441188602e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.909444598972703577e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.147911874909691377e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.126120990457109006e-01,0.000000000000000000e+00,1.173093302595127063e-01,4.054717304362089048e-02,7.543884308056979515e-01,8.485388746918558489e-01,8.975894600030551729e-01,1.250914985064289331e+00,2.910622500216212050e+00,3.002840227212548285e+00,3.180266372508423700e+00,3.278739572021303506e+00,3.600988005945847448e+00,3.631678266452629700e+00,4.444480281427481749e+00,5.344665142133297131e+00,6.628309666516710053e+00,6.899579903509300394e+00,7.428424435032648709e+00,7.480517545281581526e+00,8.645209975073482767e+00,1.023494146618810419e+01,1.024173686138483497e+01,1.104611889996409602e+01,1.113626479883429710e+01,1.192171985802071354e+01,1.230803602525943141e+01
0.000000000000000000e+00,0.000000000000000000e+00,5.908796371213203003e+00,2.471150457654151533e-01,4.206636437077495017e-01,4.283541974353075599e-01,3.197893018716677638e+00,1.075893185530590879e-02,1.833629741094284227e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.493950238296913202e+00,2.475394793903412938e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.468764962368507510e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.970793381638340502e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.824434722619263982e-01,0.000000000000000000e+00,1.887353966316518972e-01,1.033525466748029586e+00,2.406818026729941717e+00,2.892547266488500579e+00,3.177515758744740015e+00,3.925697667964565429e+00,4.697082569414270381e+00,4.830544950553594674e+00,5.450275898605456248e+00,5.460862980645813103e+00,6.049559186419954493e+00,6.294915922960481858e+00,6.592411470047256472e+00,8.514371253558152830e+00,8.759644509615679198e+00,8.939217614260606126e+00,9.037186313025758366e+00,9.454620480984869957e+00,1.155047485797837226e+01,1.228550965337017864e+01,1.433572550976861670e+01,1.446355820919008295e+01,1.463254384414477549e+01,1.466072053141767562e+01,1.620840260721196557e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.011933266547716315e+00,1.711106669042757877e-01,2.999380151072593703e-01,1.828021326129773971e-01,3.801248626061213276e+00,3.483870581651615783e-03,2.760236671233562422e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.182373681282760103e+00,1.530132861846748016e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.200037292689646762e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.777920411947135682e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.203609406633075474e-01,0.000000000000000000e+00,2.107064296107303836e-01,1.113269523363906366e+01,2.460497466921116327e+01,3.087153842867473230e+01,3.532874729017026993e+01,3.665689092464849352e+01,4.396553454948211481e+01,4.501722184788327041e+01,4.523360802750383414e+01,6.017755218794339100e+01,6.765069213523204894e+01,6.883870115716221960e+01,7.300213088438532338e+01,7.528985428615735032e+01,8.163266659333160646e+01,9.523524386274561948e+01,9.968584047382519486e+01,1.035110332689355630e+02,1.210514444373897760e+02,1.225808872635732882e+02,1.295171845425986987e+02,1.371465621384945734e+02,1.408498278135666339e+02,1.468088122421606556e+02,1.480085546732932187e+02
