# Shape,Cry_st,bx,by,bz,C00,C01,C02,C03,C04,C05,C11,C12,C13,C14,C15,C22,C23,C24,C25,C33,C34,C35,C44,C45,C55,eig_0,eig_1,eig_2,eig_3,eig_4,eig_5,eig_6,eig_7,eig_8,eig_9,eig_10,eig_11,eig_12,eig_13,eig_14,eig_15,eig_16,eig_17,eig_18,eig_19,eig_20,eig_21,eig_22,eig_23
0.000000000000000000e+00,0.000000000000000000e+00,1.026437513180415761e+00,5.930760686998161058e-01,1.642695562990681868e+00,5.784199239031178053e-01,1.503446907818365708e-01,1.782607869565910885e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.265485704212737872e+00,2.535213679986310642e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.591348307588692723e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.795541913926058442e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.804377929788848256e-02,0.000000000000000000e+00,1.462215008708916963e-02,6.150211940063295135e-02,2.948165066244978760e-01,3.441894038425358238e-01,3.643125429108642899e-01,3.728381296825656332e-01,4.162666941380918084e-01,4.352541332095741233e-01,4.624439651778773364e-01,5.083801182615929060e-01,5.902226739602791650e-01,7.826207133371048119e-01,7.966634314451267462e-01,8.173615842808323873e-01,8.918341984439467351e-01,9.648524276434392588e-01,1.010704336879836296e+00,1.035862969990275051e+00,1.171347560275493027e+00,1.222455699509962912e+00,1.227377983949712092e+00,1.430027589829467427e+00,1.522735418496854010e+00,1.527711259824850787e+00,1.555565406755194058e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.732553835422573796e-01,8.213306724529010339e-01,1.250993760305714853e+00,4.884900865871579789e+00,2.766899479189424693e-01,1.172410983360706871e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.554774888404843125e+00,4.297724200226560320e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.611288372736440100e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.410125166808915420e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.616384220623890200e-01,0.000000000000000000e+00,2.410300175421692392e-02,4.030800084751219314e-01,4.991410162038385501e-01,9.612633538120735066e-01,1.002633168926417406e+00,1.366553487240221187e+00,1.434646221007082723e+00,1.574359850948263917e+00,1.605414188851605140e+00,1.844528116684788666e+00,2.168739474770376763e+00,2.211808631212035081e+00,2.354586789360210375e+00,2.887619758038324491e+00,2.907498419327349648e+00,3.181057785421785411e+00,3.248144794634505672e+00,3.569519173452583960e+00,3.904279555396215962e+00,3.930620830995867010e+00,3.958287703682755510e+00,4.347924622732308286e+00,4.735366148928983776e+00,5.145172696543726332e+00,5.301630224376002509e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.722091520471565440e-01,1.598306730481643845e+00,1.680942369892507893e+00,7.332298883457220029e-01,2.195970117306749181e-01,1.838139547088711301e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.307647386466731732e-01,1.733603103575329929e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.091940399535715978e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.259312088858009770e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.264647470614149172e-01,0.000000000000000000e+00,3.958518467156502130e-02,6.668768214338996470e-02,1.909799365169859986e-01,2.545236654069062965e-01,3.580069202475339440e-01,3.768330026172495573e-01,7.292141857806117011e-01,7.362246682884758808e-01,8.365474020026625324e-01,9.186737005877251283e-01,9.271177231928149354e-01,1.065164902919998990e+00,1.155743249704422881e+00,1.264302928064555243e+00,1.330046837936414317e+00,1.581284688724525989e+00,1.584538012509752125e+00,1.628664342693585176e+00,1.807553737804638683e+00,1.920129784988533039e+00,2.013201260590462560e+00,2.162796804275371354e+00,2.230776085299537748e+00,2.413766346618005709e+00,2.596264863702861803e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.128741146443394960e+00,8.998466897111534468e-01,9.845485112519209991e-01,4.676839831886311138e+00,2.119967790251197637e-01,3.264126055541050064e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.289057645534724461e+00,2.722423411506393887e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.305333714483494667e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.498972406841403204e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.172309684272716590e-01,0.000000000000000000e+00,1.802826086243426440e-01,9.577746919928258329e-01,1.314561540748993451e+00,1.373420193226113639e+00,2.837236499994247652e+00,2.905276901301073078e+00,3.173353497324808092e+00,3.174023132419520721e+00,3.723953792460723999e+00,4.273639414373772816e+00,4.780240444273412770e+00,5.210263125610548940e+00,5.314729272590466458e+00,5.756020499685489789e+00,6.313503863058328669e+00,6.705074235872842792e+00,6.874767755354023180e+00,7.442654624351141557e+00,7.717326746822472217e+00,7.938606803753021524e+00,8.091057918996384046e+00,8.796495218085803813e+00,9.136256637945379566e+00,9.234491805577048851e+00,9.804191152495336681e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.291575784995563803e+00,9.140689819815686068e-01,8.470345671311384494e-01,2.690275817672876268e+00,2.759430645678439542e-01,2.540091799320601251e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.484705124663102893e+00,3.912795318725487137e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.203528396963841951e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.387052049650349117e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.513818503290382533e-01,0.000000000000000000e+00,1.981437064585255259e-01,8.641413718292996204e-01,1.975054035112800310e+00,2.369704181796523201e+00,2.798276843685332249e+00,2.813167508280815632e+00,2.880130742492231555e+00,3.537351094692238629e+00,3.569211761122062398e+00,5.315415617650630864e+00,5.784641591768434843e+00,5.834908946846292466e+00,5.992594479645760863e+00,6.367220738941203884e+00,6.704834923207782182e+00,6.924857135929716634e+00,7.297983216180644384e+00,8.017373610027680897e+00,8.532757163892169316e+00,8.823952535112297824e+00,9.062938123130395596e+00,9.448767935834048615e+00,9.966332349388075329e+00,1.029543151902616671e+01,1.170512179196006564e+01
0.000000000000000000e+00,0.000000000000000000e+00,2.131772984199707288e+00,1.644120407600598632e+00,2.853155395016646056e-01,5.102349927537165541e+00,2.875912968376116430e-01,1.984414336769005915e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.459523256373102207e+00,8.538533178346757735e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.794704659735631314e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.638196250148613586e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.221544558072945597e-02,0.000000000000000000e+00,7.343524238445531260e-03,1.978844403452435525e-03,3.540753256215109501e-02,6.224484804582686159e-02,8.503773358525694437e-02,8.529193701722750931e-02,1.058790733260213668e-01,1.406152308472930212e-01,1.919675674276794253e-01,1.920092319116035173e-01,2.412038393211565768e-01,2.533573938837946349e-01,3.860154155214802763e-01,3.883725862224798320e-01,3.982128665449933269e-01,4.275878027755704025e-01,5.725054096515720392e-01,5.926812299514055971e-01,5.961608317004284396e-01,6.677136397247143140e-01,7.843920795405457946e-01,9.112830913602013583e-01,9.126232753676314369e-01,9.639668770973947032e-01,1.024531894999378245e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.119273337488563280e+00,7.433609084224449548e-01,1.201888342164330714e+00,4.777948038673323516e+00,2.654494714205395955e-01,1.809265605266822674e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.847900068269856089e+00,1.696851664283412220e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.580336631030336614e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.564158811373802305e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.454859146474350995e-02,0.000000000000000000e+00,7.924269809476933157e-02,3.321032759862735384e-01,7.782067928667766310e-01,1.544344619047515632e+00,1.622549086262316864e+00,1.652872019316313335e+00,1.915022165440374291e+00,2.178937084785407485e+00,2.232267774068459776e+00,2.725577524095737836e+00,3.577176203824233625e+00,3.923562852655065214e+00,4.516889897190700331e+00,4.630506877797490262e+00,4.797381342327465603e+00,4.854795057510566281e+00,5.162342814769660393e+00,5.312714400482374089e+00,5.362980222429996502e+00,5.505446588697458843e+00,5.730579294204360963e+00,6.146449131845956870e+00,6.630715967378762343e+00,6.859883323166211966e+00,6.999729206625930011e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.691362990570383418e-01,1.591345995829986260e+00,2.334872167525180231e+00,2.202004178938766543e+00,9.376772075375447435e-02,2.822048356004618896e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.387181887431180094e+00,7.099071587441188602e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.909444598972703577e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.147911874909691377e-02,0.000000000000000000e+00,0.000000000000000000e+00,1.126120990457109006e-01,0.000000000000000000e+00,1.173093302595127063e-01,1.079283560878541159e-02,2.008029094925134483e-01,2.258638493085715626e-01,2.389201209063215037e-01,3.329682140809364088e-01,7.747487138072567392e-01,7.992952035617106876e-01,8.465224471680347085e-01,8.727340169134832903e-01,9.585100183327319723e-01,9.666791436151321859e-01,1.183030565221656394e+00,1.422641529188570120e+00,1.764321683237369598e+00,1.836528321916410578e+00,1.977296016995824024e+00,1.991162147062702115e+00,2.301179664585257800e+00,2.724333965065122154e+00,2.726142761529826153e+00,2.940252956085337654e+00,2.964247967186742549e+00,3.173320183461053379e+00,3.276149716892102326e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.971937046178731112e-01,1.186832000642614515e+00,1.208529609654122927e+00,3.197893018716677638e+00,1.075893185530590879e-02,1.833629741094284227e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.493950238296913202e+00,2.475394793903412938e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.468764962368507510e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.970793381638340502e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.824434722619263982e-01,0.000000000000000000e+00,1.887353966316518972e-01,7.672054320780998804e-01,1.786626380809716252e+00,2.147192349672081946e+00,2.358729832070078913e+00,2.914119363730216961e+00,3.486732913812698786e+00,3.585804554601914607e+00,4.045842516964205160e+00,4.053701507489882339e+00,4.490701795769957094e+00,4.672834725365914821e+00,4.893671276653009272e+00,6.320378245746685053e+00,6.502449206206814658e+00,6.635749706069876908e+00,6.708473717508844913e+00,7.018342967466388416e+00,8.574135170568521147e+00,9.119765351859923541e+00,1.064167922100797092e+01,1.073657184295945832e+01,1.086201306453703452e+01,1.088292915052546483e+01,1.203180272343837132e+01
0.000000000000000000e+00,0.000000000000000000e+00,8.112981125202215482e-01,1.422115581290511299e+00,8.667316178280515260e-01,3.801248626061213276e+00,3.483870581651615783e-03,2.760236671233562422e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.182373681282760103e+00,1.530132861846748016e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.200037292689646762e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.777920411947135682e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.203609406633075474e-01,0.000000000000000000e+00,2.107064296107303836e-01,9.963389954618336875e-01,2.202062953381709320e+00,2.762899454342900629e+00,3.161804742453838024e+00,3.280669156401555764e+00,3.934768320578077905e+00,4.028890816922250373e+00,4.048256656398708131e+00,5.385689685918826797e+00,6.054510720876181473e+00,6.160833555613711709e+00,6.533446593610390707e+00,6.738190187877544979e+00,7.305850678882219285e+00,8.523235857212462463e+00,8.921549371022663877e+00,9.263891334666118027e+00,1.083369947876749606e+01,1.097057949722443482e+01,1.159135490858452755e+01,1.227415869063049847e+01,1.260558858475717869e+01,1.313889776415679478e+01,1.324627069978119209e+01
